"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|BE","Actual Total Load [MW] - BZN|BE"
"11.06.2023 00:00 - 11.06.2023 00:15","7761","7538"
"11.06.2023 00:15 - 11.06.2023 00:30","7587","7493"
"11.06.2023 00:30 - 11.06.2023 00:45","7529","7457"
"11.06.2023 00:45 - 11.06.2023 01:00","7491","7426"
"11.06.2023 01:00 - 11.06.2023 01:15","7424","7303"
"11.06.2023 01:15 - 11.06.2023 01:30","7402","7384"
"11.06.2023 01:30 - 11.06.2023 01:45","7240","7281"
"11.06.2023 01:45 - 11.06.2023 02:00","7184","7220"
"11.06.2023 02:00 - 11.06.2023 02:15","6983","7084"
"11.06.2023 02:15 - 11.06.2023 02:30","6969","7088"
"11.06.2023 02:30 - 11.06.2023 02:45","6909","7170"
"11.06.2023 02:45 - 11.06.2023 03:00","6870","7029"
"11.06.2023 03:00 - 11.06.2023 03:15","6708","6943"
"11.06.2023 03:15 - 11.06.2023 03:30","6725","7019"
"11.06.2023 03:30 - 11.06.2023 03:45","6685","6994"
"11.06.2023 03:45 - 11.06.2023 04:00","6736","6887"
"11.06.2023 04:00 - 11.06.2023 04:15","6645","6739"
"11.06.2023 04:15 - 11.06.2023 04:30","6641","6787"
"11.06.2023 04:30 - 11.06.2023 04:45","6636","6779"
"11.06.2023 04:45 - 11.06.2023 05:00","6615","6600"
"11.06.2023 05:00 - 11.06.2023 05:15","6605","6608"
"11.06.2023 05:15 - 11.06.2023 05:30","6582","6682"
"11.06.2023 05:30 - 11.06.2023 05:45","6580","6563"
"11.06.2023 05:45 - 11.06.2023 06:00","6579","6534"
"11.06.2023 06:00 - 11.06.2023 06:15","6643","6620"
"11.06.2023 06:15 - 11.06.2023 06:30","6682","6831"
"11.06.2023 06:30 - 11.06.2023 06:45","6765","6730"
"11.06.2023 06:45 - 11.06.2023 07:00","6811","6842"
"11.06.2023 07:00 - 11.06.2023 07:15","6868","6952"
"11.06.2023 07:15 - 11.06.2023 07:30","6897","7160"
"11.06.2023 07:30 - 11.06.2023 07:45","7080","7283"
"11.06.2023 07:45 - 11.06.2023 08:00","7117","7278"
"11.06.2023 08:00 - 11.06.2023 08:15","7205","7415"
"11.06.2023 08:15 - 11.06.2023 08:30","7265","7588"
"11.06.2023 08:30 - 11.06.2023 08:45","7369","7628"
"11.06.2023 08:45 - 11.06.2023 09:00","7428","7966"
"11.06.2023 09:00 - 11.06.2023 09:15","7577","7909"
"11.06.2023 09:15 - 11.06.2023 09:30","7613","7986"
"11.06.2023 09:30 - 11.06.2023 09:45","7733","8063"
"11.06.2023 09:45 - 11.06.2023 10:00","7809","8201"
"11.06.2023 10:00 - 11.06.2023 10:15","7881","8134"
"11.06.2023 10:15 - 11.06.2023 10:30","7934","8191"
"11.06.2023 10:30 - 11.06.2023 10:45","8040","8292"
"11.06.2023 10:45 - 11.06.2023 11:00","8143","8382"
"11.06.2023 11:00 - 11.06.2023 11:15","8063","8454"
"11.06.2023 11:15 - 11.06.2023 11:30","8158","8366"
"11.06.2023 11:30 - 11.06.2023 11:45","8318","8455"
"11.06.2023 11:45 - 11.06.2023 12:00","8367","8498"
"11.06.2023 12:00 - 11.06.2023 12:15","8281","8742"
"11.06.2023 12:15 - 11.06.2023 12:30","8340","8734"
"11.06.2023 12:30 - 11.06.2023 12:45","8312","8691"
"11.06.2023 12:45 - 11.06.2023 13:00","8319","8541"
"11.06.2023 13:00 - 11.06.2023 13:15","8253","8560"
"11.06.2023 13:15 - 11.06.2023 13:30","8216","8484"
"11.06.2023 13:30 - 11.06.2023 13:45","8190","8350"
"11.06.2023 13:45 - 11.06.2023 14:00","8121","8385"
"11.06.2023 14:00 - 11.06.2023 14:15","8140","8415"
"11.06.2023 14:15 - 11.06.2023 14:30","7987","8334"
"11.06.2023 14:30 - 11.06.2023 14:45","7956","8173"
"11.06.2023 14:45 - 11.06.2023 15:00","7893","8193"
"11.06.2023 15:00 - 11.06.2023 15:15","7888","8177"
"11.06.2023 15:15 - 11.06.2023 15:30","7855","8312"
"11.06.2023 15:30 - 11.06.2023 15:45","7833","8143"
"11.06.2023 15:45 - 11.06.2023 16:00","7736","7987"
"11.06.2023 16:00 - 11.06.2023 16:15","7801","8214"
"11.06.2023 16:15 - 11.06.2023 16:30","7748","8353"
"11.06.2023 16:30 - 11.06.2023 16:45","7723","8261"
"11.06.2023 16:45 - 11.06.2023 17:00","7689","8107"
"11.06.2023 17:00 - 11.06.2023 17:15","7925","8180"
"11.06.2023 17:15 - 11.06.2023 17:30","7916","8288"
"11.06.2023 17:30 - 11.06.2023 17:45","7897","8142"
"11.06.2023 17:45 - 11.06.2023 18:00","7966","8050"
"11.06.2023 18:00 - 11.06.2023 18:15","8139","8267"
"11.06.2023 18:15 - 11.06.2023 18:30","8150","8222"
"11.06.2023 18:30 - 11.06.2023 18:45","8202","8319"
"11.06.2023 18:45 - 11.06.2023 19:00","8236","8271"
"11.06.2023 19:00 - 11.06.2023 19:15","8334","8371"
"11.06.2023 19:15 - 11.06.2023 19:30","8318","8409"
"11.06.2023 19:30 - 11.06.2023 19:45","8281","8513"
"11.06.2023 19:45 - 11.06.2023 20:00","8274","8470"
"11.06.2023 20:00 - 11.06.2023 20:15","8383","8553"
"11.06.2023 20:15 - 11.06.2023 20:30","8358","8405"
"11.06.2023 20:30 - 11.06.2023 20:45","8276","8563"
"11.06.2023 20:45 - 11.06.2023 21:00","8285","8422"
"11.06.2023 21:00 - 11.06.2023 21:15","8232","8530"
"11.06.2023 21:15 - 11.06.2023 21:30","8210","8326"
"11.06.2023 21:30 - 11.06.2023 21:45","8174","8407"
"11.06.2023 21:45 - 11.06.2023 22:00","8209","8440"
"11.06.2023 22:00 - 11.06.2023 22:15","8209","8458"
"11.06.2023 22:15 - 11.06.2023 22:30","8260","8456"
"11.06.2023 22:30 - 11.06.2023 22:45","8283","8391"
"11.06.2023 22:45 - 11.06.2023 23:00","8206","8272"
"11.06.2023 23:00 - 11.06.2023 23:15","8125","8183"
"11.06.2023 23:15 - 11.06.2023 23:30","7907","8065"
"11.06.2023 23:30 - 11.06.2023 23:45","7832","7831"
"11.06.2023 23:45 - 12.06.2023 00:00","7772","7743"
